{'loss': 0.362, 'grad_norm': 1.6119663715362549, 'learning_rate': 4.9642904973066276e-05, 'epoch': 0.07}
{'loss': 0.3499, 'grad_norm': 1.459852695465088, 'learning_rate': 4.963918484568912e-05, 'epoch': 0.07}
{'loss': 0.3586, 'grad_norm': 1.5658972263336182, 'learning_rate': 4.963546471831196e-05, 'epoch': 0.07}
{'loss': 0.3572, 'grad_norm': 1.487942099571228, 'learning_rate': 4.96317445909348e-05, 'epoch': 0.07}
{'loss': 0.3482, 'grad_norm': 1.602266788482666, 'learning_rate': 4.962802446355763e-05, 'epoch': 0.07}
{'loss': 0.3465, 'grad_norm': 1.5583688020706177, 'learning_rate': 4.9624304336180475e-05, 'epoch': 0.08}
{'loss': 0.3442, 'grad_norm': 1.3943495750427246, 'learning_rate': 4.962058420880331e-05, 'epoch': 0.08}
{'loss': 0.3488, 'grad_norm': 1.6348847150802612, 'learning_rate': 4.961686408142615e-05, 'epoch': 0.08}
{'loss': 0.3476, 'grad_norm': 1.2767478227615356, 'learning_rate': 4.961314395404899e-05, 'epoch': 0.08}
{'loss': 0.3466, 'grad_norm': 1.4279578924179077, 'learning_rate': 4.960942382667183e-05, 'epoch': 0.08}
{'loss': 0.3479, 'grad_norm': 1.5159637928009033, 'learning_rate': 4.960570369929467e-05, 'epoch': 0.08}
{'loss': 0.3455, 'grad_norm': 1.6771528720855713, 'learning_rate': 4.9601983571917504e-05, 'epoch': 0.08}
{'loss': 0.3484, 'grad_norm': 1.4122015237808228, 'learning_rate': 4.959826344454034e-05, 'epoch': 0.08}
{'loss': 0.3477, 'grad_norm': 1.5669970512390137, 'learning_rate': 4.9594543317163185e-05, 'epoch': 0.08}
{'loss': 0.3461, 'grad_norm': 1.440032720565796, 'learning_rate': 4.959082318978602e-05, 'epoch': 0.08}
{'loss': 0.34, 'grad_norm': 1.5857149362564087, 'learning_rate': 4.958710306240886e-05, 'epoch': 0.08}
{'loss': 0.341, 'grad_norm': 1.7480028867721558, 'learning_rate': 4.9583382935031696e-05, 'epoch': 0.08}
{'loss': 0.3428, 'grad_norm': 1.5415061712265015, 'learning_rate': 4.957966280765454e-05, 'epoch': 0.08}
{'loss': 0.3376, 'grad_norm': 1.4500672817230225, 'learning_rate': 4.957594268027738e-05, 'epoch': 0.08}
{'loss': 0.3407, 'grad_norm': 1.3536202907562256, 'learning_rate': 4.9572222552900214e-05, 'epoch': 0.09}
{'loss': 0.3421, 'grad_norm': 1.5676133632659912, 'learning_rate': 4.956850242552305e-05, 'epoch': 0.09}
{'loss': 0.3363, 'grad_norm': 1.6946346759796143, 'learning_rate': 4.956478229814589e-05, 'epoch': 0.09}
{'loss': 0.3377, 'grad_norm': 1.3724169731140137, 'learning_rate': 4.956106217076873e-05, 'epoch': 0.09}
{'loss': 0.3373, 'grad_norm': 1.5350745916366577, 'learning_rate': 4.955734204339157e-05, 'epoch': 0.09}
{'loss': 0.3433, 'grad_norm': 1.4284623861312866, 'learning_rate': 4.9553621916014406e-05, 'epoch': 0.09}
{'loss': 0.3443, 'grad_norm': 1.4837019443511963, 'learning_rate': 4.954990178863724e-05, 'epoch': 0.09}
{'loss': 0.3409, 'grad_norm': 1.4927889108657837, 'learning_rate': 4.954618166126008e-05, 'epoch': 0.09}
{'loss': 0.3366, 'grad_norm': 1.6991428136825562, 'learning_rate': 4.9542461533882924e-05, 'epoch': 0.09}
{'loss': 0.3351, 'grad_norm': 1.8453322649002075, 'learning_rate': 4.953874140650576e-05, 'epoch': 0.09}
{'loss': 0.3344, 'grad_norm': 1.617261528968811, 'learning_rate': 4.9535021279128605e-05, 'epoch': 0.09}
{'loss': 0.3354, 'grad_norm': 1.6230008602142334, 'learning_rate': 4.9531301151751435e-05, 'epoch': 0.09}
{'loss': 0.3348, 'grad_norm': 1.4819622039794922, 'learning_rate': 4.952758102437427e-05, 'epoch': 0.09}
{'loss': 0.3402, 'grad_norm': 1.453296422958374, 'learning_rate': 4.9523860896997116e-05, 'epoch': 0.1}
{'loss': 0.3391, 'grad_norm': 1.5643399953842163, 'learning_rate': 4.952014076961995e-05, 'epoch': 0.1}
{'loss': 0.3266, 'grad_norm': 1.4775665998458862, 'learning_rate': 4.95164206422428e-05, 'epoch': 0.1}
{'loss': 0.3349, 'grad_norm': 1.5875458717346191, 'learning_rate': 4.951270051486563e-05, 'epoch': 0.1}
{'loss': 0.3326, 'grad_norm': 1.3885133266448975, 'learning_rate': 4.950898038748847e-05, 'epoch': 0.1}
{'loss': 0.3303, 'grad_norm': 1.543428897857666, 'learning_rate': 4.950526026011131e-05, 'epoch': 0.1}
{'loss': 0.3355, 'grad_norm': 1.546549916267395, 'learning_rate': 4.9501540132734145e-05, 'epoch': 0.1}
{'loss': 0.3343, 'grad_norm': 1.6321499347686768, 'learning_rate': 4.949782000535699e-05, 'epoch': 0.1}
{'loss': 0.3308, 'grad_norm': 1.4667079448699951, 'learning_rate': 4.9494099877979826e-05, 'epoch': 0.1}
{'loss': 0.3364, 'grad_norm': 1.5103275775909424, 'learning_rate': 4.949037975060266e-05, 'epoch': 0.1}
{'loss': 0.3288, 'grad_norm': 1.5668699741363525, 'learning_rate': 4.94866596232255e-05, 'epoch': 0.1}
{'loss': 0.3383, 'grad_norm': 1.6991095542907715, 'learning_rate': 4.948293949584834e-05, 'epoch': 0.1}
{'loss': 0.3309, 'grad_norm': 1.370683193206787, 'learning_rate': 4.947921936847118e-05, 'epoch': 0.1}
{'loss': 0.3197, 'grad_norm': 1.5446017980575562, 'learning_rate': 4.947549924109402e-05, 'epoch': 0.1}
{'loss': 0.3239, 'grad_norm': 1.3832144737243652, 'learning_rate': 4.9471779113716855e-05, 'epoch': 0.11}
{'loss': 0.3285, 'grad_norm': 1.4764647483825684, 'learning_rate': 4.946805898633969e-05, 'epoch': 0.11}
{'loss': 0.3315, 'grad_norm': 1.4528393745422363, 'learning_rate': 4.9464338858962536e-05, 'epoch': 0.11}
{'loss': 0.32, 'grad_norm': 1.3090225458145142, 'learning_rate': 4.946061873158537e-05, 'epoch': 0.11}
{'loss': 0.3237, 'grad_norm': 1.5140308141708374, 'learning_rate': 4.945689860420821e-05, 'epoch': 0.11}
{'loss': 0.3352, 'grad_norm': 1.6855206489562988, 'learning_rate': 4.945317847683105e-05, 'epoch': 0.11}
{'loss': 0.3244, 'grad_norm': 1.5267882347106934, 'learning_rate': 4.9449458349453885e-05, 'epoch': 0.11}
{'loss': 0.3231, 'grad_norm': 1.4104657173156738, 'learning_rate': 4.944573822207673e-05, 'epoch': 0.11}
{'loss': 0.33, 'grad_norm': 1.5265023708343506, 'learning_rate': 4.9442018094699565e-05, 'epoch': 0.11}
{'loss': 0.3292, 'grad_norm': 1.5399290323257446, 'learning_rate': 4.94382979673224e-05, 'epoch': 0.11}
{'loss': 0.3254, 'grad_norm': 1.3949841260910034, 'learning_rate': 4.943457783994524e-05, 'epoch': 0.11}
{'loss': 0.3284, 'grad_norm': 1.3954755067825317, 'learning_rate': 4.943085771256808e-05, 'epoch': 0.11}
{'loss': 0.3307, 'grad_norm': 1.3728879690170288, 'learning_rate': 4.942713758519092e-05, 'epoch': 0.11}
{'loss': 0.3275, 'grad_norm': 1.4768246412277222, 'learning_rate': 4.942341745781376e-05, 'epoch': 0.12}
{'loss': 0.3217, 'grad_norm': 1.66081964969635, 'learning_rate': 4.94196973304366e-05, 'epoch': 0.12}
{'loss': 0.3337, 'grad_norm': 1.4628068208694458, 'learning_rate': 4.941597720305943e-05, 'epoch': 0.12}
{'loss': 0.3226, 'grad_norm': 1.4134323596954346, 'learning_rate': 4.9412257075682276e-05, 'epoch': 0.12}
{'loss': 0.3251, 'grad_norm': 1.5407315492630005, 'learning_rate': 4.940853694830511e-05, 'epoch': 0.12}
{'loss': 0.3247, 'grad_norm': 1.5570461750030518, 'learning_rate': 4.940481682092795e-05, 'epoch': 0.12}
{'loss': 0.3256, 'grad_norm': 1.5124363899230957, 'learning_rate': 4.9401096693550793e-05, 'epoch': 0.12}
{'loss': 0.3199, 'grad_norm': 1.3870731592178345, 'learning_rate': 4.9397376566173624e-05, 'epoch': 0.12}
{'loss': 0.3212, 'grad_norm': 1.7054082155227661, 'learning_rate': 4.939365643879647e-05, 'epoch': 0.12}
{'loss': 0.3244, 'grad_norm': 1.4548901319503784, 'learning_rate': 4.9389936311419305e-05, 'epoch': 0.12}
{'loss': 0.321, 'grad_norm': 1.6062792539596558, 'learning_rate': 4.938621618404214e-05, 'epoch': 0.12}
{'loss': 0.3226, 'grad_norm': 1.6891816854476929, 'learning_rate': 4.9382496056664986e-05, 'epoch': 0.12}
{'loss': 0.3211, 'grad_norm': 1.6442210674285889, 'learning_rate': 4.937877592928782e-05, 'epoch': 0.12}
{'loss': 0.3175, 'grad_norm': 1.60917329788208, 'learning_rate': 4.937505580191066e-05, 'epoch': 0.12}
{'loss': 0.3196, 'grad_norm': 1.3959304094314575, 'learning_rate': 4.93713356745335e-05, 'epoch': 0.13}
{'loss': 0.3275, 'grad_norm': 1.5616182088851929, 'learning_rate': 4.936761554715634e-05, 'epoch': 0.13}
{'loss': 0.3211, 'grad_norm': 1.552108645439148, 'learning_rate': 4.936389541977918e-05, 'epoch': 0.13}
{'loss': 0.3175, 'grad_norm': 1.7751954793930054, 'learning_rate': 4.9360175292402015e-05, 'epoch': 0.13}
